Model,Accuracy,Precision,Recall,F1 Score
Random Forest 150,0.7436,0.742435288822925,0.7436,0.7419845520747568
Random Forest No Class Weight,0.7408,0.7407029108368149,0.7408,0.7406472179962149
Random Forest Baseline,0.738,0.7365013253409999,0.738,0.7363195935021773
Extra Trees No Class Weight,0.7314,0.7308048042259093,0.7314,0.7308098118979613
Extra Trees 100 No Class Weight,0.728,0.7277746069391833,0.728,0.727580108314827
Hist Gradient Boosting,0.723,0.7226327740381783,0.723,0.7224089714252694
Gradient Boosting,0.708,0.7077281370113775,0.708,0.706516045676578
Extra Trees 150,0.6862,0.730474768497227,0.6862,0.6907759991837593
Logistic Regression,0.6368,0.6786432855582037,0.6368,0.6407681900828976
Decision Tree,0.6326,0.6309342511255481,0.6326,0.6316800398355968
